# Simple Text Format
# Sampling Rate (Hz):= 2000.0
# Resolution:= 12
# Units:= Volts
# Labels:= PCG	ECG
1.38366	1.87824
1.38205	1.87824
1.38366	1.87582
1.38527	1.87502
1.38366	1.87582
1.38366	1.87421
1.38527	1.87260
1.38769	1.87421
1.39092	1.87341
1.38769	1.87824
1.38850	1.87905
1.38930	1.88308
1.38850	1.88549
1.39092	1.88711
1.38850	1.89436
1.39011	1.89919
1.38850	1.90403
1.38850	1.90484
1.38850	1.91128
1.38769	1.91612
1.38850	1.91692
1.39011	1.92176
1.38689	1.92659
1.38689	1.92579
1.38447	1.92982
1.38286	1.92982
1.38366	1.93143
1.38366	1.93546
1.38447	1.93143
1.38447	1.93143
1.38125	1.92982
1.38286	1.92821
1.38366	1.92821
1.38527	1.92256
1.38286	1.92176
1.38366	1.92176
1.38527	1.91692
1.38527	1.91692
1.38930	1.91289
1.38850	1.91289
1.38689	1.90645
1.38447	1.90484
1.38769	1.90484
1.39011	1.90403
1.38769	1.90403
1.38527	1.90484
1.38769	1.90484
1.38689	1.90564
1.39011	1.90645
1.38527	1.91128
1.38527	1.91531
1.38447	1.91692
1.38366	1.91934
1.38769	1.92418
1.38366	1.92982
1.38366	1.93304
1.38447	1.93707
1.38689	1.94432
1.39011	1.94755
1.38769	1.95399
1.38527	1.95722
1.38769	1.96286
1.38769	1.96447
1.38769	1.96608
1.38366	1.97172
1.38205	1.97253
1.38286	1.97414
1.38044	1.97575
1.38447	1.97414
1.38205	1.97253
1.38205	1.97333
1.38527	1.97092
1.38689	1.96930
1.39011	1.96769
1.38769	1.96527
1.38930	1.96608
1.38769	1.96366
1.39011	1.96125
1.39172	1.95722
1.39253	1.95560
1.39253	1.95560
1.39333	1.95560
1.39414	1.95560
1.39817	1.95560
1.39575	1.95560
1.39656	1.95560
1.39656	1.95802
1.39414	1.96044
1.39978	1.96447
1.39736	1.96850
1.39575	1.97172
1.39656	1.97736
1.39817	1.98139
1.39736	1.98381
1.39656	1.99267
1.39817	1.99993
1.39656	2.00557
1.39656	2.00879
1.39656	2.01524
1.39414	2.02007
1.39253	2.02652
1.39333	2.02894
1.39333	2.03297
1.39495	2.03538
1.39414	2.04022
1.39656	2.04183
1.39736	2.04344
1.40059	2.04425
1.40300	2.04425
1.39978	2.04425
